,French,English
0,histoire,history
1,police,police
2,demande,request
3,genre,kind
4,frere,brother
5,car,because
6,mettre,to put
7,aucun,no
8,laisse,leash
9,eux,them
10,chaque,each
11,parle,speak
12,arrive,come
13,devrait,should
14,longtemps,long time
15,revoir,meet again
16,aucune,any
17,place,square
18,compris,understood
19,savais,knew
20,etaient,were
21,attention,Warning
22,voici,here is
23,donner,give
24,type,type
25,donne,given
26,train,train
27,corps,body
28,endroit,place
29,yeux,eyes
30,ecoute,listen
31,trouve,find
32,premier,first
33,premiere,first
34,cote,side
35,pouvoir,power
36,tiens,here
37,matin,morning
38,tellement,so much
39,enfant,child
40,venu,came
41,pardon,sorry
42,venez,come
43,devant,in front of
44,vers,towards
45,minutes,minutes
46,chambre,bedroom
47,belle,beautiful
48,droit,law
49,aimerais,would like to
50,aujourd'hui,today
51,eau,water
52,parti,left
53,terre,Earth
54,donne,given
55,loin,far
56,cherie,sweetheart
57,gros,large
58,aura,will have
59,jouer,to play
